"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",20,2,0.1,"t1",5.66124,8.54628,5.51734,5.67294,5.68438
"2",20,2,0.1,"t2",5.15382516958511,7.73795580243486,5.08336616035765,5.16348629325629,5.17373435271385
"3",20,2,0.1,"t3",0.666938,0.522686,0.674133,0.666353,0.665781
"4",20,2,0.1,"coverage",0.9438,0.9184,0.9478,0.945,0.9472
"5",20,2,0.5,"t1",5.48872,9.4067,5.69098,5.66384,5.67506
"6",20,2,0.5,"t2",5.01770428890318,8.57705776148614,5.23550638203547,5.17598403363186,5.18614168382567
"7",20,2,0.5,"t3",0.675564,0.479665,0.665451,0.666808,0.666247
"8",20,2,0.5,"coverage",0.9462,0.9156,0.9494,0.961,0.9614
"9",20,2,0.9,"t1",4.83758,9.85218,5.44984,5.67722,5.68764
"10",20,2,0.9,"t2",4.4171130563127,9.05347651728452,5.02962318096233,5.22245721704636,5.23152964908571
"11",20,2,0.9,"t3",0.708121,0.457391,0.677508,0.666139,0.665618
"12",20,2,0.9,"coverage",0.9522,0.909,0.9418,0.9864,0.9864
"13",20,3.6,0.1,"t1",3.63804,4.98432,3.77232,3.64512,3.65196
"14",20,3.6,0.1,"t2",3.26596507319087,4.52968264440947,3.39085040232904,3.2725430299889,3.27884304439322
"15",20,3.6,0.1,"t3",0.768098,0.700784,0.761384,0.767744,0.767402
"16",20,3.6,0.1,"coverage",0.9438,0.9466,0.9506,0.945,0.9472
"17",20,3.6,0.5,"t1",3.5562,5.13072,3.72724,3.65858,3.66554
"18",20,3.6,0.5,"t2",3.18967459484868,4.66608647645983,3.33603799557513,3.28201259726779,3.28824436128069
"19",20,3.6,0.5,"t3",0.77219,0.693464,0.763638,0.767071,0.766723
"20",20,3.6,0.5,"coverage",0.9462,0.94,0.951,0.961,0.9614
"21",20,3.6,0.9,"t1",3.1632,5.20096,3.53338,3.67954,3.68568
"22",20,3.6,0.9,"t2",2.8419063309898,4.71481298353818,3.15764251393852,3.29759065762112,3.30297943026629
"23",20,3.6,0.9,"t3",0.79184,0.689952,0.773331,0.766023,0.765716
"24",20,3.6,0.9,"coverage",0.9522,0.9312,0.9534,0.9864,0.9864
"25",20,6,0.1,"t1",2.56808,3.25836,2.64742,2.5725,2.5754
"26",20,6,0.1,"t2",2.30912285438538,2.92721368437347,2.39002648520412,2.31336707972855,2.31597890879172
"27",20,6,0.1,"t3",0.821596,0.787082,0.817629,0.821375,0.82123
"28",20,6,0.1,"coverage",0.9438,0.8724,0.9462,0.945,0.9472
"29",20,6,0.5,"t1",2.50834,3.29714,2.61504,2.56246,2.56624
"30",20,6,0.5,"t2",2.26142320969705,2.96541031536163,2.35585254150631,2.31159469209576,2.31512561387245
"31",20,6,0.5,"t3",0.824583,0.785143,0.819248,0.821877,0.821688
"32",20,6,0.5,"coverage",0.9462,0.8756,0.9416,0.961,0.9614
"33",20,6,0.9,"t1",2.31854,3.3071,2.49336,2.5494,2.5531
"34",20,6,0.9,"t2",2.08789552238628,2.97870431079297,2.24065090012715,2.30921748970644,2.31258578902893
"35",20,6,0.9,"t3",0.834073,0.784645,0.825332,0.82253,0.822345
"36",20,6,0.9,"coverage",0.9522,0.861,0.94,0.9864,0.9864
