"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",10,2,"unbalanced-block","t1",3.40564,4.7656,3.45444,3.44388,3.44956
"2",10,2,"unbalanced-block","t2",2.9877457041002,4.10683033773709,3.03652462969907,3.01797151254387,3.02238904684152
"3",10,2,"unbalanced-block","t3",0.559436,0.42344,0.554556,0.555612,0.555044
"4",10,2,"unbalanced-block","coverage",0.9508,0.9232,0.9562,0.9574,0.9582
"5",10,3.6,"unbalanced-block","t1",2.4156,3.09188,2.56084,2.44232,2.44704
"6",10,3.6,"unbalanced-block","t2",2.12520952930895,2.71622469684217,2.2495487425122,2.14893396478167,2.15317856138704
"7",10,3.6,"unbalanced-block","t3",0.65844,0.590812,0.643916,0.655768,0.655296
"8",10,3.6,"unbalanced-block","coverage",0.9508,0.9304,0.962,0.9574,0.9582
"9",10,6,"unbalanced-block","t1",1.79396,2.21848,1.83116,1.80576,1.80756
"10",10,6,"unbalanced-block","t2",1.60603322117697,1.96543404242627,1.62912899701951,1.61498226969219,1.61634622120792
"11",10,6,"unbalanced-block","t3",0.720604,0.678152,0.716884,0.719424,0.719244
"12",10,6,"unbalanced-block","coverage",0.9508,0.8572,0.9452,0.9574,0.9582
"13",20,2,"unbalanced-block","t1",5.60542,8.6554,5.5462,5.7,5.71128
"14",20,2,"unbalanced-block","t2",5.10382736538317,7.84610993420935,5.10691957379385,5.18733099982005,5.1972188055492
"15",20,2,"unbalanced-block","t3",0.669729,0.51723,0.67269,0.665,0.664436
"16",20,2,"unbalanced-block","coverage",0.9436,0.9408,0.946,0.9548,0.9568
"17",20,3.6,"unbalanced-block","t1",3.58448,5.0417,3.75932,3.63694,3.6424
"18",20,3.6,"unbalanced-block","t2",3.21591972277224,4.58086939144176,3.37468641316412,3.26369239761568,3.26870491717451
"19",20,3.6,"unbalanced-block","t3",0.770776,0.697915,0.762034,0.768153,0.76788
"20",20,3.6,"unbalanced-block","coverage",0.9436,0.9034,0.9454,0.9548,0.9568
"21",20,6,"unbalanced-block","t1",2.5392,3.37082,2.62834,2.57312,2.57756
"22",20,6,"unbalanced-block","t2",2.28394583333652,3.02998978523839,2.37848515281406,2.3146305644902,2.31852995213494
"23",20,6,"unbalanced-block","t3",0.82304,0.781459,0.818583,0.821344,0.821122
"24",20,6,"unbalanced-block","coverage",0.9436,0.8674,0.9412,0.9548,0.9568
"25",30,2,"unbalanced-block","t1",9.95030666666667,14.9776666666667,9.04122666666667,10.1416266666667,10.16124
"26",30,2,"unbalanced-block","t2",8.86804904135062,13.4846861507233,8.20946229366583,9.0381721976033,9.05527918492745
"27",30,2,"unbalanced-block","t3",0.634989777777778,0.467411111111111,0.665292444444444,0.628612444444444,0.627958666666667
"28",30,2,"unbalanced-block","coverage",0.9484,0.917,0.9486,0.9596,0.96
"29",30,3.6,"unbalanced-block","t1",6.07470666666667,9.40670666666667,6.05070666666667,6.19253333333333,6.20494666666667
"30",30,3.6,"unbalanced-block","t2",5.36533083371276,8.38704237979467,5.39493158283136,5.46756255738224,5.47851428051873
"31",30,3.6,"unbalanced-block","t3",0.764176444444444,0.653109777777778,0.764976444444444,0.760248888888889,0.759835111111111
"32",30,3.6,"unbalanced-block","coverage",0.9484,0.9218,0.9518,0.9596,0.96
"33",30,6,"unbalanced-block","t1",3.92942666666667,5.84878666666667,4.0968,4.00062666666667,4.00782666666667
"34",30,6,"unbalanced-block","t2",3.52546254892645,5.18466522035129,3.70468031681409,3.58998256818849,3.59654104055256
"35",30,6,"unbalanced-block","t3",0.835685777777778,0.771707111111111,0.830106666666667,0.833312444444444,0.833072444444445
"36",30,6,"unbalanced-block","coverage",0.9484,0.8808,0.9484,0.9596,0.96
"37",40,2,"unbalanced-block","t1",12.57349,18.57994,11.01864,12.80869,12.83141
"38",40,2,"unbalanced-block","t2",11.4153822891156,17.0826809453591,10.1441494019009,11.6341659557656,11.6554815340237
"39",40,2,"unbalanced-block","t3",0.66066275,0.5105015,0.699534,0.65478275,0.65421475
"40",40,2,"unbalanced-block","coverage",0.9454,0.9282,0.9512,0.957,0.9582
"41",40,3.6,"unbalanced-block","t1",7.53242,12.38276,7.40428,7.69833,7.7146
"42",40,3.6,"unbalanced-block","t2",6.68853444239777,11.2552403520145,6.74795524116665,6.84399031331323,6.85934088543539
"43",40,3.6,"unbalanced-block","t3",0.7866895,0.665431,0.789893,0.78254175,0.782135
"44",40,3.6,"unbalanced-block","coverage",0.9454,0.9282,0.94,0.957,0.9582
"45",40,6,"unbalanced-block","t1",4.66805,7.97954,4.79984,4.75824,4.76747
"46",40,6,"unbalanced-block","t2",4.09140120285253,7.12670142045139,4.27624433256676,4.17140345517131,4.17955860510643
"47",40,6,"unbalanced-block","t3",0.85829875,0.7755115,0.855004,0.856044,0.85581325
"48",40,6,"unbalanced-block","coverage",0.9454,0.893,0.9508,0.957,0.9582
"49",50,2,"unbalanced-block","t1",16.314864,22.341472,13.011136,16.658864,16.689624
"50",50,2,"unbalanced-block","t2",14.9298195114297,20.5243004676879,12.1554072965731,15.2435369330095,15.2717479267451
"51",50,2,"unbalanced-block","t3",0.65370272,0.53317056,0.71977728,0.64682272,0.64620752
"52",50,2,"unbalanced-block","coverage",0.947,0.9582,0.9698,0.9598,0.9602
"53",50,3.6,"unbalanced-block","t1",9.559376,14.760984,9.030632,9.771256,9.7908
"54",50,3.6,"unbalanced-block","t2",8.69654613885836,13.5273503524105,8.39007584046171,8.89516421607418,8.91336754533089
"55",50,3.6,"unbalanced-block","t3",0.78881248,0.68478032,0.79938736,0.78457488,0.784184
"56",50,3.6,"unbalanced-block","coverage",0.947,0.952,0.9618,0.9598,0.9602
"57",50,6,"unbalanced-block","t1",6.060664,9.559768,6.256824,6.187088,6.198528
"58",50,6,"unbalanced-block","t2",5.4455557476738,8.71120286736738,5.70132603400584,5.56152265442834,5.5720911404623
"59",50,6,"unbalanced-block","t3",0.85878672,0.78880464,0.85486352,0.85625824,0.85602944
"60",50,6,"unbalanced-block","coverage",0.947,0.9386,0.9582,0.9598,0.9602
