"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",10,2,"unbalanced-block-high","t1",3.35116,4.71912,3.46056,3.45408,3.4604
"2",10,2,"unbalanced-block-high","t2",2.94657060335434,4.07118987252942,3.03705961653958,3.03057052449748,3.03553995832628
"3",10,2,"unbalanced-block-high","t3",0.564884,0.428088,0.553944,0.554592,0.55396
"4",10,2,"unbalanced-block-high","coverage",0.9492,0.9246,0.9514,0.9628,0.964
"5",10,3.6,"unbalanced-block-high","t1",2.37924,3.04688,2.55348,2.4464,2.45104
"6",10,3.6,"unbalanced-block-high","t2",2.09655352694428,2.67889917830342,2.24759951508262,2.15648447800259,2.1605619659145
"7",10,3.6,"unbalanced-block-high","t3",0.662076,0.595312,0.644652,0.65536,0.654896
"8",10,3.6,"unbalanced-block-high","coverage",0.9492,0.931,0.9624,0.9628,0.964
"9",10,6,"unbalanced-block-high","t1",1.77964,2.21132,1.8078,1.80888,1.81124
"10",10,6,"unbalanced-block-high","t2",1.5977624202064,1.9610760475206,1.61394490669961,1.6193184253083,1.62115213263109
"11",10,6,"unbalanced-block-high","t3",0.722036,0.678868,0.71922,0.719112,0.718876
"12",10,6,"unbalanced-block-high","coverage",0.9492,0.8714,0.9444,0.9628,0.964
"13",20,2,"unbalanced-block-high","t1",5.48354,8.39116,5.49878,5.69508,5.70556
"14",20,2,"unbalanced-block-high","t2",4.98886394744927,7.5955795520444,5.05476597017852,5.17893821676594,5.18830874127433
"15",20,2,"unbalanced-block-high","t3",0.675823,0.530442,0.675061,0.665246,0.664722
"16",20,2,"unbalanced-block-high","coverage",0.9492,0.9334,0.9572,0.966,0.9666
"17",20,3.6,"unbalanced-block-high","t1",3.55958,4.87582,3.71892,3.68478,3.6917
"18",20,3.6,"unbalanced-block-high","t2",3.18764642140533,4.42548871627894,3.3426267594476,3.30225202487534,3.30865914299615
"19",20,3.6,"unbalanced-block-high","t3",0.772021,0.706209,0.764054,0.765761,0.765415
"20",20,3.6,"unbalanced-block-high","coverage",0.9492,0.9492,0.9622,0.966,0.9666
"21",20,6,"unbalanced-block-high","t1",2.47212,3.20294,2.61672,2.54992,2.55412
"22",20,6,"unbalanced-block-high","t2",2.24000941669152,2.88459868608588,2.37435549626852,2.31168145503191,2.31540604175971
"23",20,6,"unbalanced-block-high","t3",0.826394,0.789853,0.819164,0.822504,0.822294
"24",20,6,"unbalanced-block-high","coverage",0.9492,0.8712,0.946,0.966,0.9666
