"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",10,2,"unbalanced-block","t1",3.4168,4.75248,3.44444,3.44108,3.44796
"2",10,2,"unbalanced-block","t2",2.99542352457661,4.10241193713774,3.02834119358882,3.01434993751667,3.01985488573902
"3",10,2,"unbalanced-block","t3",0.55832,0.424752,0.555556,0.555892,0.555204
"4",10,2,"unbalanced-block","coverage",0.9502,0.9318,0.9614,0.9554,0.9568
"5",10,3.6,"unbalanced-block","t1",2.4286,3.0744,2.57028,2.44488,2.44892
"6",10,3.6,"unbalanced-block","t2",2.13493391268371,2.70165832186518,2.25547076509039,2.14933064558486,2.1530069925423
"7",10,3.6,"unbalanced-block","t3",0.65714,0.59256,0.642972,0.655512,0.655108
"8",10,3.6,"unbalanced-block","coverage",0.9502,0.9348,0.9674,0.9554,0.9568
"9",10,6,"unbalanced-block","t1",1.79544,2.21304,1.82768,1.80204,1.80432
"10",10,6,"unbalanced-block","t2",1.60728994645239,1.95984603898202,1.62695450921566,1.61224976801159,1.61398500755534
"11",10,6,"unbalanced-block","t3",0.720456,0.678696,0.717232,0.719796,0.719568
"12",10,6,"unbalanced-block","coverage",0.9502,0.8626,0.9506,0.9554,0.9568
"13",20,2,"unbalanced-block","t1",5.61138,8.63102,5.5403,5.68218,5.69332
"14",20,2,"unbalanced-block","t2",5.10906344407598,7.811541980568,5.10197987289146,5.17230801516266,5.18222894247497
"15",20,2,"unbalanced-block","t3",0.669431,0.518449,0.672985,0.665891,0.665334
"16",20,2,"unbalanced-block","coverage",0.948,0.9236,0.9496,0.9544,0.9552
"17",20,3.6,"unbalanced-block","t1",3.61016,4.9774,3.7745,3.64928,3.65542
"18",20,3.6,"unbalanced-block","t2",3.2436596207317,4.52258680071762,3.39770462215434,3.27960877915692,3.28536436991229
"19",20,3.6,"unbalanced-block","t3",0.769492,0.70113,0.761275,0.767536,0.767229
"20",20,3.6,"unbalanced-block","coverage",0.948,0.9514,0.9572,0.9544,0.9552
"21",20,6,"unbalanced-block","t1",2.55338,3.23298,2.61394,2.5794,2.58388
"22",20,6,"unbalanced-block","t2",2.29679896066433,2.90366394943399,2.36796628938571,2.31988355441427,2.323997215184
"23",20,6,"unbalanced-block","t3",0.822331,0.788351,0.819303,0.82103,0.820806
"24",20,6,"unbalanced-block","coverage",0.948,0.8722,0.9502,0.9544,0.9552
"25",30,2,"unbalanced-block","t1",10.0123866666667,13.9772666666667,8.85097333333333,10.1678533333333,10.1876533333333
"26",30,2,"unbalanced-block","t2",8.9198912335556,12.5218361270849,8.05288333052288,9.05766341018436,9.07488523729654
"27",30,2,"unbalanced-block","t3",0.632920444444444,0.500757777777778,0.671634222222222,0.627738222222222,0.627078222222222
"28",30,2,"unbalanced-block","coverage",0.9456,0.9238,0.936,0.955,0.9554
"29",30,3.6,"unbalanced-block","t1",6.06801333333333,9.05790666666667,5.96472,6.16488,6.17673333333333
