"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",30,2,"0.1","t1",10.11588,14.31884,9.01870666666667,10.1421066666667,10.1615866666667
"2",30,2,"0.1","t2",9.01779147766497,12.8429146864726,8.19111549754547,9.04141583133653,9.05857264933846
"3",30,2,"0.1","t3",0.629470666666667,0.489372,0.666043111111111,0.628596444444444,0.627947111111111
"4",30,2,"0.1","coverage",0.9488,0.9354,0.9482,0.951,0.9522
"5",30,2,"0.5","t1",9.79684,16.7193066666667,9.81838666666667,10.14804,10.1673733333333
"6",30,2,"0.5","t2",8.75350148699295,15.2105183245722,8.86143603060379,9.06520889783606,9.08225150003659
"7",30,2,"0.5","t3",0.640105333333333,0.409356444444444,0.639387111111111,0.628398666666667,0.627754222222222
"8",30,2,"0.5","coverage",0.9504,0.9336,0.9398,0.9646,0.9652
"9",30,2,"0.9","t1",8.51902666666667,18.0595466666667,9.71136,10.1879466666667,10.20716
"10",30,2,"0.9","t2",7.60938320144624,16.6232090060973,8.7631816130127,9.13371359437765,9.14972599596722
"11",30,2,"0.9","t3",0.682699111111111,0.364681777777778,0.642954666666667,0.627068444444444,0.626428
"12",30,2,"0.9","coverage",0.9526,0.9034,0.9402,0.9904,0.9908
"13",30,3.6,"0.1","t1",6.16229333333333,9.22592,6.05750666666667,6.18072,6.19370666666667
"14",30,3.6,"0.1","t2",5.44198129667294,8.23218869926312,5.40818738331554,5.45844460328229,5.46975943863983
"15",30,3.6,"0.1","t3",0.761256888888889,0.659136,0.764749777777778,0.760642666666667,0.760209777777778
"16",30,3.6,"0.1","coverage",0.9488,0.9102,0.946,0.951,0.9522
"17",30,3.6,"0.5","t1",5.95858666666667,10.0772133333333,6.23873333333333,6.19426666666667,6.20734666666667
"18",30,3.6,"0.5","t2",5.26081624413034,8.9933386558559,5.51805948548314,5.46277768082423,5.4740233943679
"19",30,3.6,"0.5","t3",0.768047111111111,0.630759555555556,0.758708888888889,0.760191111111111,0.759755111111111
"20",30,3.6,"0.5","coverage",0.9504,0.9214,0.9468,0.9646,0.9652
"21",30,3.6,"0.9","t1",5.09124,10.47112,5.8374,6.21644,6.22824
"22",30,3.6,"0.9","t2",4.53804963788792,9.31193534013111,5.15183915958083,5.47182370432368,5.48205220849844
"23",30,3.6,"0.9","t3",0.796958666666667,0.617629333333333,0.772086666666667,0.759452,0.759058666666667
"24",30,3.6,"0.9","coverage",0.9526,0.9396,0.9482,0.9904,0.9908
"25",30,6,"0.1","t1",3.98870666666667,5.81146666666667,4.19288,3.99953333333333,4.00714666666667
"26",30,6,"0.1","t2",3.57877065380725,5.15228498932762,3.78355104588301,3.58843138059619,3.5953699140516
"27",30,6,"0.1","t3",0.833709777777778,0.772951111111111,0.826904,0.833348888888889,0.833095111111111
"28",30,6,"0.1","coverage",0.9488,0.8918,0.945,0.951,0.9522
"29",30,6,"0.5","t1",3.86814666666667,5.90938666666667,4.14206666666667,4.0016,4.00873333333333
"30",30,6,"0.5","t2",3.47290546848922,5.23836496203923,3.7287241868668,3.59645488994134,3.60292303448281
"31",30,6,"0.5","t3",0.837728444444444,0.769687111111111,0.828597777777778,0.83328,0.833042222222222
"32",30,6,"0.5","coverage",0.9504,0.8958,0.9452,0.9646,0.9652
"33",30,6,"0.9","t1",3.40245333333333,5.79948,3.82008,4.00598666666667,4.01337333333333
"34",30,6,"0.9","t2",3.05527665881235,5.14853291412276,3.41474087919576,3.60013795235805,3.60721679003091
"35",30,6,"0.9","t3",0.853251555555556,0.773350666666667,0.839330666666667,0.833133777777778,0.832887555555556
"36",30,6,"0.9","coverage",0.9526,0.8948,0.9536,0.9904,0.9908
