"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",10,2,"balanced-block","t1",3.37496,4.93532,3.48332,3.4548,3.46088
"2",10,2,"balanced-block","t2",2.96119792036178,4.26953129963097,3.05466552066147,3.02461173053169,3.02933172608886
"3",10,2,"balanced-block","t3",0.562504,0.406468,0.551668,0.55452,0.553912
"4",10,2,"balanced-block","coverage",0.9486,0.9354,0.9518,0.9616,0.9634
"5",10,3.6,"balanced-block","t1",2.40628,3.16828,2.59084,2.46448,2.46896
"6",10,3.6,"balanced-block","t2",2.11683694999702,2.77646085899541,2.27086969484395,2.1675467354099,2.17133726037568
"7",10,3.6,"balanced-block","t3",0.659372,0.583172,0.640916,0.653552,0.653104
"8",10,3.6,"balanced-block","coverage",0.9486,0.8824,0.9528,0.9616,0.9634
"9",10,6,"balanced-block","t1",1.74452,2.26792,1.79336,1.7838,1.78676
"10",10,6,"balanced-block","t2",1.56785006352932,2.01606175419242,1.6013978357227,1.59817137542388,1.60040465241825
"11",10,6,"balanced-block","t3",0.725548,0.673208,0.720664,0.72162,0.721324
"12",10,6,"balanced-block","coverage",0.9486,0.8644,0.9346,0.9616,0.9634
"13",20,2,"balanced-block","t1",5.47404,9.7178,5.62264,5.68164,5.69378
"14",20,2,"balanced-block","t2",4.98757146117884,8.90999790840213,5.16397485738416,5.17370658478809,5.18487602231587
"15",20,2,"balanced-block","t3",0.676298,0.46411,0.668868,0.665918,0.665311
"16",20,2,"balanced-block","coverage",0.9458,0.9,0.9436,0.9656,0.9666
"17",20,3.6,"balanced-block","t1",3.5614,5.28508,3.76886,3.67356,3.67968
"18",20,3.6,"balanced-block","t2",3.19858065443308,4.79668629720623,3.38373726869579,3.3000870980334,3.30563651468398
"19",20,3.6,"balanced-block","t3",0.77193,0.685746,0.761557,0.766322,0.766016
"20",20,3.6,"balanced-block","coverage",0.9458,0.9526,0.9484,0.9656,0.9666
"21",20,6,"balanced-block","t1",2.49714,3.2653,2.5573,2.56888,2.57268
"22",20,6,"balanced-block","t2",2.24451832890468,2.93623614787158,2.31332210148471,2.30839792406666,2.31184108120706
"23",20,6,"balanced-block","t3",0.825143,0.786735,0.822135,0.821556,0.821366
"24",20,6,"balanced-block","coverage",0.9458,0.8714,0.945,0.9656,0.9666
"25",30,2,"balanced-block","t1",9.80354666666667,15.1827466666667,9.19978666666667,10.1785866666667,10.19736
"26",30,2,"balanced-block","t2",8.80181708347413,13.696785904839,8.35507300442427,9.12532824977812,9.14135866274014
"27",30,2,"balanced-block","t3",0.639881777777778,0.460575111111111,0.660007111111111,0.627380444444444,0.626754666666667
"28",30,2,"balanced-block","coverage",0.9468,0.9204,0.9526,0.9694,0.9704
"29",30,3.6,"balanced-block","t1",5.9332,9.34142666666667,5.97230666666667,6.1708,6.18252
"30",30,3.6,"balanced-block","t2",5.24424017384769,8.32934133691941,5.3124293430656,5.44453393108912,5.45442333229573
"31",30,3.6,"balanced-block","t3",0.768893333333333,0.655285777777778,0.767589777777778,0.760973333333333,0.760582666666667
"32",30,3.6,"balanced-block","coverage",0.9468,0.9188,0.9568,0.9694,0.9704
"33",30,6,"balanced-block","t1",3.86758666666667,5.77229333333333,4.0594,4.01138666666667,4.01850666666667
"34",30,6,"balanced-block","t2",3.4763409214089,5.12100057494317,3.68411617700259,3.61213879684253,3.61891443450694
"35",30,6,"balanced-block","t3",0.837747111111111,0.774256888888889,0.831353333333333,0.832953777777778,0.832716444444444
"36",30,6,"balanced-block","coverage",0.9468,0.8732,0.9578,0.9694,0.9704
"37",40,2,"balanced-block","t1",12.33117,18.61368,11.22275,12.80396,12.82727
"38",40,2,"balanced-block","t2",11.2250492157171,17.110211883216,10.3647000410431,11.6599509711874,11.6812243246375
"39",40,2,"balanced-block","t3",0.66672075,0.509658,0.69443125,0.654901,0.65431825
"40",40,2,"balanced-block","coverage",0.9452,0.9182,0.9482,0.9664,0.9678
"41",40,3.6,"balanced-block","t1",7.36783,12.36926,7.40408,7.70531,7.72122
"42",40,3.6,"balanced-block","t2",6.53738104778801,11.2552933126504,6.75078552041514,6.84923938610856,6.86405119596282
