"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",50,2,0.1,"t1",16.601704,22.404768,13.024008,16.648816,16.681808
"2",50,2,0.1,"t2",15.1741245494742,20.5903212646868,12.1685225929622,15.2177861473005,15.2480495723258
"3",50,2,0.1,"t3",0.64796592,0.53190464,0.71951984,0.64702368,0.64636384
"4",50,2,0.1,"coverage",0.9472,0.957,0.9652,0.9508,0.952
"5",50,2,0.5,"t1",15.980872,26.89536,15.196456,16.685024,16.717976
"6",50,2,0.5,"t2",14.6184526732717,25.0672503395725,14.1070547946547,15.2636047457457,15.2938750410154
"7",50,2,0.5,"t3",0.66038256,0.4420928,0.67607088,0.64629952,0.64564048
"8",50,2,0.5,"coverage",0.9472,0.9484,0.9542,0.9686,0.9688
"9",50,2,0.9,"t1",13.436976,30.046424,15.977576,16.73784,16.771136
"10",50,2,0.9,"t2",12.3068014923005,28.3498190033408,14.7808581226668,15.3248312608624,15.3551601475143
"11",50,2,0.9,"t3",0.71126048,0.37907152,0.66044848,0.6452432,0.64457728
"12",50,2,0.9,"coverage",0.9488,0.92,0.95,0.9918,0.9918
"13",50,3.6,0.1,"t1",9.753936,14.965784,9.154576,9.780272,9.79984
"14",50,3.6,0.1,"t2",8.88171185169615,13.7014424707855,8.51438884992116,8.90636918014092,8.92476505546371
"15",50,3.6,0.1,"t3",0.78492128,0.68068432,0.79690848,0.78439456,0.7840032
"16",50,3.6,0.1,"coverage",0.9472,0.9424,0.9558,0.9508,0.952
"17",50,3.6,0.5,"t1",9.358392,16.85784,9.9426,9.787704,9.807208
"18",50,3.6,0.5,"t2",8.51754440150452,15.4362135223636,9.205740565999,8.92473358225183,8.9431848559421
"19",50,3.6,0.5,"t3",0.79283216,0.6428432,0.781148,0.78424592,0.78385584
"20",50,3.6,0.5,"coverage",0.9472,0.9286,0.9478,0.9686,0.9688
"21",50,3.6,0.9,"t1",7.813736,18.193536,9.717288,9.823712,9.843216
"22",50,3.6,0.9,"t2",7.02870226445869,16.6553217421608,8.95130208094728,8.99348067472589,9.01165934356541
"23",50,3.6,0.9,"t3",0.82372528,0.61612928,0.78565424,0.78352576,0.78313568
"24",50,3.6,0.9,"coverage",0.9488,0.9376,0.9488,0.9918,0.9918
"25",50,6,0.1,"t1",6.171592,9.7528,6.381472,6.188472,6.200008
"26",50,6,0.1,"t2",5.5436161685069,8.89170197625669,5.8104723755181,5.55918951878618,5.56971434590622
"27",50,6,0.1,"t3",0.85656816,0.784944,0.85237056,0.85623056,0.85599984
"28",50,6,0.1,"coverage",0.9472,0.9464,0.9564,0.9508,0.952
"29",50,6,0.5,"t1",5.943096,10.434808,6.522328,6.2064,6.218376
"30",50,6,0.5,"t2",5.34243185198456,9.5365757601457,5.89863073624412,5.58442311644894,5.59549192709428
"31",50,6,0.5,"t3",0.86113808,0.77130384,0.84955344,0.855872,0.85563248
"32",50,6,0.5,"coverage",0.9472,0.9396,0.951,0.9686,0.9688
"33",50,6,0.9,"t1",4.976224,10.642136,6.01512,6.23228,6.24428
"34",50,6,0.9,"t2",4.4465821710954,9.72938604012706,5.39881535314917,5.62449822616822,5.63523639980812
"35",50,6,0.9,"t3",0.88047552,0.76715728,0.8596976,0.8553544,0.8551144
"36",50,6,0.9,"coverage",0.9488,0.9138,0.9538,0.9918,0.9918
