K,alpha,sd,metric,approach,corr = 0.1,corr = 0.5,corr = 0.9
10,0.05,2,Cov,nonrankbased,0.9446,0.946,0.9482
10,0.05,2,Cov,rankbased-asymptotic,0.9242,0.9196,0.9146
10,0.05,2,Cov,rankbased-level2bs,0.9588,0.962,0.9656
10,0.05,2,Cov,independent,0.9474,0.9618,0.983
10,0.05,2,Cov,bonferroni,0.9484,0.9626,0.9832
10,0.05,2,T1,nonrankbased,3.43568,3.3742,3.10004
10,0.05,2,T1,rankbased-asymptotic,4.86012,5.32812,5.62564
10,0.05,2,T1,rankbased-level2bs,5.20604,5.53264,5.75884
10,0.05,2,T1,independent,3.44444,3.44508,3.42108
10,0.05,2,T1,bonferroni,3.45052,3.45112,3.42572
10,0.05,2,T2,nonrankbased,3.011100937,2.973505287,2.757196686
10,0.05,2,T2,rankbased-asymptotic,4.189109289,4.632063561,4.951917836
10,0.05,2,T2,rankbased-level2bs,4.561713771,4.831440775,4.991607838
10,0.05,2,T2,independent,3.017764727,3.029241925,3.025000685
10,0.05,2,T2,bonferroni,3.022689516,3.033860519,3.028632815
10,0.05,2,T3,nonrankbased,0.556432,0.56258,0.589996
10,0.05,2,T3,rankbased-asymptotic,0.413988,0.367188,0.337436
10,0.05,2,T3,rankbased-level2bs,0.379396,0.346736,0.324116
10,0.05,2,T3,independent,0.555556,0.555492,0.557892
10,0.05,2,T3,bonferroni,0.554948,0.554888,0.557428
10,0.05,3.6,Cov,nonrankbased,0.9446,0.946,0.9482
10,0.05,3.6,Cov,rankbased-asymptotic,0.9354,0.9312,0.9156
10,0.05,3.6,Cov,rankbased-level2bs,0.9532,0.9624,0.948
10,0.05,3.6,Cov,independent,0.9474,0.9618,0.983
10,0.05,3.6,Cov,bonferroni,0.9484,0.9626,0.9832
10,0.05,3.6,T1,nonrankbased,2.44304,2.40212,2.16472
10,0.05,3.6,T1,rankbased-asymptotic,3.14388,3.20308,3.2296
10,0.05,3.6,T1,rankbased-level2bs,3.4722,3.48616,3.57164
10,0.05,3.6,T1,independent,2.44556,2.45548,2.5004
10,0.05,3.6,T1,bonferroni,2.45068,2.46012,2.50532
10,0.05,3.6,T2,nonrankbased,2.14803119,2.11145502,1.902948248
10,0.05,3.6,T2,rankbased-asymptotic,2.759526351,2.807145473,2.817665499
10,0.05,3.6,T2,rankbased-level2bs,3.061437432,3.075450854,3.141317852
10,0.05,3.6,T2,independent,2.149812652,2.15863129,2.19299242
10,0.05,3.6,T2,bonferroni,2.154542861,2.162824698,2.197306473
10,0.05,3.6,T3,nonrankbased,0.655696,0.659788,0.683528
10,0.05,3.6,T3,rankbased-asymptotic,0.585612,0.579692,0.57704
10,0.05,3.6,T3,rankbased-level2bs,0.55278,0.551384,0.542836
10,0.05,3.6,T3,independent,0.655444,0.654452,0.64996
10,0.05,3.6,T3,bonferroni,0.654932,0.653988,0.649468
10,0.05,6,Cov,nonrankbased,0.9446,0.946,0.9482
10,0.05,6,Cov,rankbased-asymptotic,0.8692,0.8636,0.8702
10,0.05,6,Cov,rankbased-level2bs,0.9462,0.954,0.9404
10,0.05,6,Cov,independent,0.9474,0.9618,0.983
10,0.05,6,Cov,bonferroni,0.9484,0.9626,0.9832
10,0.05,6,T1,nonrankbased,1.80208,1.77096,1.67348
10,0.05,6,T1,rankbased-asymptotic,2.23364,2.21956,2.19792
10,0.05,6,T1,rankbased-level2bs,2.83328,2.82164,2.8394
10,0.05,6,T1,independent,1.80256,1.79288,1.77784
10,0.05,6,T1,bonferroni,1.80504,1.79516,1.78092
10,0.05,6,T2,nonrankbased,1.611958657,1.589516219,1.518933663
10,0.05,6,T2,rankbased-asymptotic,1.977948313,1.969697657,1.960675682
10,0.05,6,T2,rankbased-level2bs,2.521130262,2.511109641,2.524240455
10,0.05,6,T2,independent,1.612406998,1.605778834,1.594249742
10,0.05,6,T2,bonferroni,1.614287692,1.607455249,1.59656557
10,0.05,6,T3,nonrankbased,0.719792,0.722904,0.732652
10,0.05,6,T3,rankbased-asymptotic,0.676636,0.678044,0.680208
10,0.05,6,T3,rankbased-level2bs,0.616672,0.617836,0.61606
10,0.05,6,T3,independent,0.719744,0.720712,0.722216
10,0.05,6,T3,bonferroni,0.719496,0.720484,0.721908
